user_id,age,gender,country,platform,daily_usage_hours,sessions_per_day,avg_session_minutes,scroll_before_sleep,sleep_hours,notifications_per_day,posts_per_week,followers,addiction_score,anxiety_score,depression_score,productivity_score,fomo_score
USR0029,25,Female,USA,Instagram,5.13,11,28.8,1,8.5,31,5,247,46.8,19.7,25.2,75.2,22.6
USR0030,32,Male,South Africa,TikTok,5.05,11,24.0,1,6.8,27,4,16,44.8,30.3,27.5,73.4,15.3
USR0031,16,Male,UK,Instagram,4.94,9,39.1,0,7.0,26,6,75,29.7,13.3,12.8,83.8,12.0
USR0032,24,Male,Brazil,TikTok,6.75,16,23.9,1,7.2,42,1,75,57.5,27.4,19.7,66.1,21.0
USR0033,27,Male,Brazil,TikTok,6.22,21,19.7,1,8.3,93,1,791,59.5,29.5,18.0,72.8,24.6
USR0034,28,Male,Kenya,Instagram,4.41,14,21.2,1,7.6,61,5,200,40.6,20.4,19.1,75.8,15.0
USR0035,25,Female,Kenya,Instagram,4.54,8,33.7,1,7.7,34,5,206,31.6,23.3,26.1,79.4,4.4
USR0036,21,Female,Nigeria,Instagram,4.61,7,41.4,1,8.4,31,6,172,35.8,20.8,17.7,78.1,27.0
USR0037,18,Male,India,TikTok,4.3,14,19.2,0,7.6,73,2,3655,32.3,28.2,7.0,77.8,17.4
USR0038,24,Female,Brazil,TikTok,7.35,18,20.3,1,6.6,101,1,431,54.2,30.0,20.5,67.8,23.0
USR0039,16,Male,USA,Instagram,9.15,23,22.9,1,6.6,67,6,542,73.6,39.2,27.7,53.4,38.1
USR0040,13,Male,UK,TikTok,4.8,14,18.7,1,8.3,60,3,159,44.3,29.3,13.9,76.6,17.1
USR0041,27,Male,Kenya,TikTok,3.32,7,27.1,1,7.9,16,3,385,32.0,18.1,12.3,85.3,0.0
USR0042,30,Female,South Africa,TikTok,8.41,20,21.3,1,8.0,49,2,93,67.2,41.8,28.4,58.5,51.3
USR0043,13,Male,Germany,TikTok,8.23,28,21.0,1,7.4,129,0,675,74.5,41.4,33.4,56.3,38.4
USR0044,16,Male,Nigeria,Instagram,3.89,11,26.0,1,7.5,43,3,72,35.5,9.3,21.7,73.0,14.2
USR0045,28,Male,USA,TikTok,5.47,9,39.4,0,7.5,45,3,1231,35.3,26.7,18.7,72.2,6.1
USR0046,38,Female,Kenya,Instagram,1.09,1,69.3,1,7.9,3,10,133,12.7,14.5,0.0,97.0,0.0
USR0047,24,Male,UK,TikTok,6.31,12,30.5,1,7.0,30,2,1673,46.8,31.8,15.5,75.8,33.3
USR0048,18,Female,USA,TikTok,6.12,18,18.5,1,9.6,98,2,7051,58.3,17.4,20.2,54.7,38.2
USR0049,22,Female,Kenya,TikTok,6.66,13,28.4,0,7.8,30,1,404,35.5,17.1,16.5,69.6,22.3
USR0050,33,Female,USA,TikTok,5.8,8,45.4,1,7.9,22,1,2885,46.9,22.4,23.9,69.8,16.8
USR0051,19,Female,Nigeria,Instagram,6.46,21,19.2,1,7.0,65,5,1245,54.6,26.3,23.8,60.8,36.4
USR0052,18,Male,USA,Instagram,1.73,3,34.3,1,9.0,17,5,47,16.0,18.0,7.4,86.0,10.7
USR0053,20,Male,UK,Instagram,2.9,4,47.4,1,8.5,14,2,476,26.7,14.9,12.8,85.9,17.3
USR0054,17,Female,Kenya,Instagram,6.53,12,33.9,1,8.3,48,5,855,44.3,23.2,16.8,77.1,24.8
USR0055,24,Female,India,Instagram,4.31,8,29.8,1,8.6,40,5,988,32.7,20.2,13.9,68.1,7.3
USR0056,35,Female,India,Instagram,5.52,12,25.5,1,6.8,54,5,527,41.8,28.1,25.1,71.4,13.7
USR0057,26,Female,USA,TikTok,3.4,11,20.6,1,7.3,59,2,516,32.9,3.5,15.1,82.4,13.4
USR0058,22,Female,Kenya,TikTok,3.54,11,22.4,0,7.4,43,1,406,23.3,12.5,12.0,87.5,15.5
USR0059,21,Female,India,TikTok,3.48,8,27.8,1,7.4,47,0,492,38.2,15.3,17.1,79.3,10.8
USR0060,13,Non-binary,Germany,TikTok,6.13,14,32.0,0,7.6,72,4,64,49.1,29.0,27.3,76.9,23.5
USR0061,30,Female,Nigeria,TikTok,4.29,11,28.3,1,7.4,39,4,283,30.2,17.2,8.8,79.5,14.0
USR0062,23,Male,Nigeria,TikTok,4.88,9,33.8,1,8.7,31,2,45,41.8,21.6,25.5,80.1,25.6
USR0063,22,Female,Kenya,Instagram,5.51,8,38.8,0,8.5,45,4,191,37.4,9.5,9.5,70.8,22.7
USR0064,46,Male,UK,TikTok,3.82,12,15.2,1,7.8,56,1,166,38.9,20.3,13.6,77.1,13.4
USR0065,26,Male,Kenya,TikTok,4.72,8,34.3,1,8.6,35,2,151,35.4,24.2,18.2,70.3,26.4
USR0066,18,Female,USA,TikTok,5.86,11,34.2,1,8.2,55,0,83,45.1,31.0,23.7,74.7,15.6
USR0067,21,Male,India,TikTok,1.71,4,31.1,0,8.0,16,2,604,8.7,11.6,0.0,92.5,10.9
USR0068,32,Male,UK,Instagram,6.13,15,25.8,1,6.4,39,2,250,49.0,22.6,17.1,69.9,21.2
USR0069,24,Male,USA,TikTok,5.82,8,47.2,1,7.3,26,2,214,38.7,29.0,18.9,71.3,20.3
USR0070,13,Female,USA,Instagram,4.57,8,33.5,0,7.4,33,3,48,28.8,21.9,25.8,82.3,15.8
USR0071,30,Female,UK,Instagram,4.36,9,30.9,0,7.8,18,4,258,23.0,14.1,17.6,84.1,12.7
USR0072,19,Female,Kenya,TikTok,5.48,15,24.4,1,7.6,56,2,2249,46.6,15.7,18.7,65.4,27.4
USR0073,37,Male,Kenya,TikTok,6.68,13,24.9,0,7.3,65,6,2301,38.8,27.6,5.5,66.5,21.7
USR0074,31,Female,Brazil,Instagram,2.03,4,29.2,0,8.4,10,6,706,14.2,6.6,7.8,90.1,11.8
USR0075,20,Female,Kenya,Instagram,2.2,5,29.2,1,7.5,11,2,259,20.3,15.9,12.7,90.8,12.9
USR0076,32,Male,India,Instagram,5.03,16,19.7,1,7.8,85,9,933,47.1,25.9,17.9,80.4,16.0
USR0077,24,Male,Brazil,Instagram,4.0,8,26.4,0,7.6,35,8,148,30.7,26.4,10.2,81.2,17.0
USR0078,29,Male,Nigeria,TikTok,5.94,10,28.4,1,7.5,27,0,257,52.1,27.7,22.7,72.3,22.7
USR0079,27,Non-binary,USA,TikTok,9.04,22,23.6,1,7.4,114,1,132,60.7,32.5,20.5,49.6,23.7
USR0080,18,Female,UK,TikTok,5.71,17,19.9,0,6.9,78,5,1575,38.8,31.6,27.7,83.1,17.7
USR0081,19,Female,Brazil,Instagram,4.18,7,33.2,1,7.6,23,5,1299,33.3,16.5,22.8,81.3,17.8
USR0082,31,Male,Brazil,Instagram,5.35,12,27.2,0,7.5,42,4,382,38.2,26.3,20.4,73.8,20.6
USR0083,21,Female,India,TikTok,5.14,7,45.6,0,7.3,18,2,5414,24.7,15.5,13.1,79.0,18.7
USR0084,21,Female,Kenya,TikTok,5.26,8,41.5,1,8.0,42,4,749,36.8,15.5,12.6,69.2,26.2
USR0085,17,Female,India,TikTok,1.21,2,29.2,0,7.9,8,1,688,8.2,7.8,5.9,90.2,6.1
USR0086,26,Non-binary,USA,TikTok,3.1,6,27.0,0,7.7,25,0,586,20.6,17.4,18.9,95.1,13.4
USR0087,38,Male,USA,Instagram,6.39,20,18.3,1,7.0,110,4,60,57.5,38.6,29.0,59.3,29.3
USR0088,16,Male,Kenya,Instagram,1.9,5,24.5,1,8.7,10,4,105,23.3,20.4,11.1,81.9,16.2
USR0089,24,Female,Kenya,Instagram,3.55,8,28.1,1,7.6,18,2,371,33.5,18.4,19.9,76.0,19.7
USR0090,33,Female,India,TikTok,5.78,13,28.1,1,7.7,34,0,376,48.1,21.3,23.0,63.2,23.7
USR0091,23,Female,USA,TikTok,6.68,16,23.9,1,8.3,33,1,977,54.4,26.3,23.6,64.9,40.1
USR0092,27,Male,Nigeria,Instagram,3.83,6,37.3,1,7.8,27,2,148,34.6,14.1,20.3,84.0,14.0
USR0093,16,Female,USA,Instagram,2.92,9,17.3,1,8.5,40,6,448,20.9,11.2,12.1,82.8,19.2
USR0094,26,Male,South Africa,Instagram,5.63,19,20.1,1,8.3,54,1,460,57.5,27.5,26.9,58.9,20.6
USR0095,22,Male,India,Instagram,5.99,11,29.9,1,7.9,28,7,488,38.0,24.8,17.2,74.3,23.9
USR0096,30,Female,Nigeria,TikTok,4.72,8,38.0,0,7.6,20,1,413,25.7,5.2,11.3,80.0,21.5
USR0097,32,Female,Kenya,TikTok,6.43,11,35.7,1,7.7,63,1,49,48.1,22.6,17.6,72.9,12.6
USR0098,42,Male,Nigeria,TikTok,4.44,12,22.1,1,7.1,57,0,13,42.5,21.4,16.0,71.8,22.1
USR0099,28,Male,Brazil,TikTok,6.96,19,20.0,1,6.9,82,2,98,46.0,32.9,12.8,66.4,27.3
USR0100,26,Male,UK,TikTok,3.16,10,14.9,1,7.6,32,2,181,31.7,13.4,10.1,80.2,17.4
USR0101,25,Male,USA,TikTok,3.22,9,19.5,1,9.0,33,8,68,34.5,18.6,8.8,80.2,19.5
USR0102,21,Female,UK,Instagram,2.96,7,24.4,1,7.6,16,5,371,32.4,18.8,12.5,79.2,17.0
USR0103,26,Female,USA,TikTok,5.04,13,16.2,1,7.2,77,3,2069,40.8,29.2,26.3,70.8,13.8
USR0104,21,Male,South Africa,TikTok,4.38,12,21.3,1,7.2,60,1,1198,38.3,25.8,16.8,66.7,33.4
USR0105,25,Female,USA,Instagram,4.2,10,28.0,1,8.0,44,6,811,34.5,20.1,16.3,75.0,14.2
USR0106,33,Female,Kenya,TikTok,4.11,10,26.3,1,7.8,43,3,1768,35.0,17.3,16.9,81.4,20.1
USR0107,16,Female,Kenya,TikTok,4.84,13,20.8,1,8.2,52,1,100,38.5,11.7,24.1,79.2,15.4
USR0108,31,Male,USA,Instagram,1.19,3,24.0,1,8.6,9,4,203,12.8,9.8,3.7,90.1,0.0
USR0109,33,Non-binary,Brazil,TikTok,7.97,22,20.1,0,6.4,63,1,1014,59.2,36.5,25.0,66.9,24.0
USR0110,23,Male,Nigeria,TikTok,8.03,21,23.4,1,6.7,88,2,197,65.5,28.3,27.4,57.6,24.1
USR0111,13,Male,South Africa,TikTok,4.69,13,26.3,1,8.3,29,3,214,43.8,16.9,23.5,66.4,28.5
USR0112,19,Male,India,TikTok,7.42,20,25.2,1,7.1,45,1,6592,61.9,35.0,32.8,52.1,27.3
USR0113,33,Female,Nigeria,Instagram,2.79,7,25.5,1,8.6,29,6,465,30.4,18.2,15.1,88.3,12.1
USR0114,23,Male,Kenya,Instagram,2.25,6,21.1,1,8.0,34,5,5684,27.6,11.4,18.8,82.6,7.4
USR0115,17,Male,Kenya,Instagram,4.89,11,28.9,0,7.1,62,3,26,26.3,14.7,14.4,73.6,13.7
USR0116,20,Male,India,Instagram,5.12,10,25.6,1,7.4,20,5,156,38.2,13.1,16.4,63.2,14.8
USR0117,29,Female,Kenya,Instagram,4.74,7,39.9,1,7.2,17,3,744,36.4,28.9,22.9,74.0,24.1
USR0118,27,Female,USA,TikTok,4.97,13,24.7,1,7.3,56,3,464,43.2,18.3,21.6,74.8,23.4
USR0119,22,Male,USA,Instagram,2.71,7,25.5,1,8.1,37,4,18,24.5,17.5,7.7,81.3,8.8
USR0120,21,Female,India,TikTok,6.45,22,19.6,1,7.6,127,1,285,61.5,32.3,30.1,57.2,35.9
USR0121,21,Female,Kenya,Instagram,4.88,10,30.2,1,6.8,54,1,16473,48.3,34.5,20.6,68.2,24.2
USR0122,17,Female,USA,Instagram,5.33,12,26.1,1,7.5,56,4,584,45.0,21.2,17.8,77.6,22.6
USR0123,35,Male,USA,TikTok,5.99,11,34.3,1,7.1,30,3,998,47.1,27.3,25.3,62.2,14.8
USR0124,21,Female,USA,TikTok,2.62,4,36.4,0,7.7,9,3,153,19.7,5.0,9.9,83.7,9.4
USR0125,32,Female,South Africa,TikTok,3.69,11,17.6,1,7.9,24,0,581,27.8,7.0,14.8,87.5,15.8
USR0126,34,Female,Kenya,TikTok,1.41,2,42.4,1,8.0,8,3,396,16.8,14.6,12.2,93.0,16.4
USR0127,30,Male,South Africa,Instagram,4.6,12,23.5,1,8.4,25,3,2160,44.5,14.4,14.1,73.9,17.7
USR0128,20,Female,India,Instagram,4.21,12,15.5,0,8.3,59,8,2060,28.1,14.8,14.2,77.1,27.7
USR0129,26,Female,UK,TikTok,1.66,4,26.3,1,8.8,19,1,743,14.6,14.0,13.7,91.0,10.6
USR0130,23,Female,India,TikTok,2.53,8,21.3,1,7.8,18,2,448,26.3,20.0,7.7,81.7,4.0
USR0131,17,Male,USA,TikTok,5.2,12,25.7,1,7.1,67,5,32,43.3,22.0,21.8,68.0,16.6
USR0132,26,Male,Kenya,TikTok,4.22,8,38.8,1,7.8,32,2,30,31.9,10.8,10.3,73.4,24.5
USR0133,15,Female,India,TikTok,8.79,28,16.8,1,6.8,157,1,456,82.7,46.1,38.8,53.3,48.8
USR0134,32,Female,USA,TikTok,8.5,27,17.8,1,6.7,151,4,1498,70.2,45.0,34.6,54.6,35.2
USR0135,20,Male,UK,Instagram,4.52,8,32.7,1,7.1,22,7,2973,32.4,17.1,13.9,79.6,17.1
USR0136,25,Non-binary,Nigeria,TikTok,6.2,9,41.1,1,7.4,31,1,106,45.8,21.9,31.0,70.0,15.9
USR0137,25,Male,Brazil,TikTok,6.55,11,34.7,1,7.1,27,1,41,53.2,27.1,28.5,67.8,34.5
USR0138,22,Female,UK,Instagram,1.91,3,34.1,1,8.5,15,1,1635,20.0,14.9,12.8,86.9,4.1
USR0139,28,Female,Kenya,TikTok,2.51,8,17.2,0,8.4,32,2,118,20.9,18.8,13.0,84.2,15.5
USR0140,20,Female,USA,Instagram,4.64,12,22.9,1,8.2,68,1,37,37.3,14.2,20.7,71.7,26.8
USR0141,30,Female,India,Instagram,4.93,11,30.6,1,7.0,31,6,192,47.4,19.9,16.1,64.1,24.0
USR0142,14,Male,India,TikTok,4.42,14,25.5,1,7.9,66,4,187,43.5,35.5,19.3,68.1,27.6
USR0143,24,Female,USA,TikTok,6.0,14,29.7,0,7.1,83,1,2922,45.4,25.4,22.2,68.0,33.8
USR0144,37,Male,Brazil,TikTok,3.85,8,26.5,0,7.2,37,5,1478,27.1,19.1,11.7,73.4,15.2
USR0145,16,Female,Nigeria,TikTok,3.13,10,16.7,1,7.7,22,3,133,34.9,16.8,18.0,72.9,16.4
USR0146,19,Female,USA,TikTok,5.4,17,18.6,1,8.1,74,2,3284,45.1,26.6,24.8,76.4,22.1
USR0147,27,Female,Brazil,Instagram,5.23,16,25.0,1,7.4,43,3,486,45.0,30.3,17.6,72.7,18.0
USR0148,25,Male,Brazil,TikTok,3.08,7,25.9,1,8.7,14,2,1980,34.4,19.5,13.7,77.8,12.6
USR0149,26,Female,India,TikTok,6.87,21,15.6,1,7.5,70,1,2953,65.4,43.1,22.5,71.5,35.4
USR0150,27,Male,South Africa,TikTok,2.01,3,38.8,1,7.9,9,2,272,15.9,9.6,0.0,81.4,7.0
USR0151,28,Male,Kenya,Instagram,6.37,16,26.2,1,7.9,82,3,950,53.7,27.0,25.8,70.7,28.8
USR0152,31,Female,South Africa,TikTok,4.74,16,19.8,0,7.9,55,2,219,34.8,21.1,15.2,76.1,8.4
USR0153,26,Female,Nigeria,TikTok,4.05,8,29.8,0,7.3,39,1,1628,23.9,18.5,12.6,86.3,11.4
USR0154,22,Female,Kenya,TikTok,4.18,12,23.0,0,8.7,24,1,461,31.7,18.0,8.1,79.5,22.0
USR0155,28,Male,Nigeria,Instagram,3.99,9,19.8,1,7.9,18,5,1703,39.7,15.6,16.1,66.8,13.1
USR0156,37,Male,USA,TikTok,3.67,5,44.3,0,7.8,10,2,3972,24.1,16.7,17.2,83.5,12.2
USR0157,23,Female,Nigeria,Instagram,4.8,14,23.1,0,7.2,40,1,916,33.9,19.0,16.1,78.5,5.8
USR0158,17,Female,Nigeria,Instagram,2.91,5,32.5,1,8.6,17,4,350,28.6,12.8,12.3,71.8,6.5
USR0159,31,Male,Kenya,TikTok,5.37,14,20.5,0,7.8,62,5,359,36.6,21.0,17.2,84.4,23.1
USR0160,23,Female,Nigeria,Instagram,4.29,7,31.2,1,8.0,41,3,4,36.7,15.6,9.6,78.3,16.5
USR0161,13,Female,UK,TikTok,9.75,30,24.3,1,6.5,102,2,138,86.4,40.2,38.6,49.3,54.1
USR0162,29,Female,USA,Instagram,5.17,10,28.9,1,8.0,22,1,1634,33.5,6.0,8.5,70.4,19.4
USR0163,20,Female,Nigeria,Instagram,7.09,13,33.4,0,7.7,36,5,1728,49.0,35.4,15.9,69.7,27.7
USR0164,23,Female,India,TikTok,3.84,6,40.2,0,7.5,33,3,134,17.8,15.9,4.8,90.6,2.5
USR0165,26,Female,Brazil,TikTok,5.26,17,23.1,1,6.8,81,1,516,52.8,29.5,22.3,69.6,24.1
USR0166,25,Female,India,Instagram,0.9,2,26.5,1,8.6,10,2,303,11.5,4.6,4.3,93.5,1.4
USR0167,28,Male,Nigeria,TikTok,5.24,15,19.3,1,6.8,37,3,1135,41.3,10.7,19.3,68.5,14.3
USR0168,20,Female,India,TikTok,8.25,20,25.3,1,7.1,50,1,11080,68.0,32.8,23.6,55.2,38.0
USR0169,27,Female,Kenya,TikTok,5.47,13,29.1,1,7.3,31,1,1167,47.2,30.2,25.6,67.6,28.8
USR0170,22,Female,Kenya,Instagram,4.31,7,36.5,1,8.3,38,3,147,31.2,22.1,17.6,81.8,18.0
USR0171,29,Male,Nigeria,Instagram,1.53,4,20.2,1,8.0,11,3,358,13.9,13.4,6.9,87.1,2.0
USR0172,28,Female,South Africa,TikTok,6.82,13,26.8,1,7.8,59,3,3304,51.7,28.4,19.0,68.5,27.9
USR0173,17,Female,Nigeria,TikTok,3.71,12,14.9,1,7.6,48,3,48,31.4,25.5,11.7,75.8,4.2
USR0174,31,Male,Kenya,TikTok,8.52,26,22.3,1,7.5,108,0,160,67.2,33.7,25.8,54.8,41.5
USR0175,20,Male,Kenya,Instagram,3.42,7,28.3,0,8.9,19,5,1170,23.2,18.0,2.7,87.0,3.8
USR0176,29,Female,South Africa,TikTok,5.66,10,32.2,1,6.9,45,4,2811,40.4,22.4,13.9,69.0,13.5
USR0177,26,Male,UK,Instagram,4.85,14,18.7,1,7.8,30,4,1005,45.2,20.4,23.5,75.5,23.3
USR0178,36,Non-binary,Nigeria,TikTok,7.06,12,35.5,1,8.6,71,2,162,58.8,24.2,24.2,65.1,30.6
USR0179,22,Female,UK,Instagram,4.54,8,33.4,1,7.7,16,9,902,36.5,15.7,24.4,74.9,17.8
USR0180,21,Female,USA,TikTok,3.75,7,31.3,1,7.9,15,0,751,32.9,22.4,13.2,85.2,9.8
USR0181,23,Male,India,TikTok,4.25,11,27.2,1,8.1,36,0,682,46.1,20.8,17.1,73.4,29.9
USR0182,21,Male,Nigeria,TikTok,2.82,8,25.8,0,8.0,42,3,348,15.7,5.9,6.5,93.6,0.0
USR0183,29,Female,South Africa,Instagram,5.79,12,24.1,0,6.6,36,3,436,43.3,29.9,18.7,80.1,12.8
USR0184,13,Male,Nigeria,Instagram,4.23,7,37.2,1,8.3,27,2,103,39.0,22.6,12.9,74.7,18.9
USR0185,16,Female,India,TikTok,2.77,6,25.4,1,7.0,12,2,16652,30.1,24.3,16.4,85.7,7.4
USR0186,16,Male,Kenya,Instagram,3.62,10,21.0,1,7.6,23,3,510,39.3,25.0,17.4,73.9,27.0
USR0187,30,Male,USA,Instagram,4.84,9,33.2,1,8.2,39,3,918,40.5,18.0,14.3,68.9,13.2
USR0188,35,Male,USA,Instagram,3.57,6,35.0,0,7.7,16,4,290,20.3,14.2,16.8,83.8,19.5
USR0189,23,Female,USA,TikTok,6.19,21,18.4,0,7.0,100,0,1433,52.1,30.0,32.2,59.9,32.3
USR0190,22,Non-binary,Kenya,TikTok,3.88,13,19.9,1,8.2,66,2,57,42.3,18.0,23.3,70.6,28.6
USR0191,24,Male,India,TikTok,4.66,16,18.4,1,7.2,86,2,29,48.5,21.8,23.9,74.2,35.6
USR0192,32,Male,Nigeria,Instagram,3.06,9,18.5,1,7.3,22,2,385,30.7,15.7,18.5,79.0,15.8
USR0193,17,Male,India,Instagram,0.65,1,37.1,1,8.5,3,4,8787,9.2,17.3,14.7,98.6,0.0
USR0194,25,Female,South Africa,Instagram,3.51,6,30.7,1,7.8,34,4,2471,31.1,16.4,18.0,82.0,14.9
USR0195,30,Male,UK,TikTok,3.89,8,26.6,0,7.2,40,3,119,29.6,25.1,11.7,89.6,11.4
USR0196,27,Female,India,TikTok,4.86,10,35.0,1,7.9,24,2,874,44.4,21.7,20.6,75.1,17.9
USR0197,25,Female,India,Instagram,6.88,23,15.6,1,7.5,92,7,155,59.1,36.0,27.6,68.2,30.4
USR0198,31,Female,USA,Instagram,4.79,14,16.9,1,7.5,79,1,764,44.4,29.6,14.4,74.7,20.3
USR0199,13,Male,South Africa,Instagram,4.64,13,22.4,1,7.5,48,5,859,36.4,26.1,15.0,77.7,13.7
USR0200,28,Non-binary,Nigeria,Instagram,3.89,7,33.1,0,8.0,37,4,1619,29.0,18.9,18.6,86.4,13.0
USR0201,19,Male,UK,Instagram,3.99,13,17.8,0,8.4,51,1,38,27.2,22.4,2.8,84.5,16.9
USR0202,13,Male,India,TikTok,5.03,15,24.3,1,7.5,36,2,60,48.3,28.7,14.5,71.7,29.9
USR0203,27,Female,USA,TikTok,7.02,12,36.7,1,7.6,31,0,360,48.1,35.1,19.6,67.7,14.4
USR0204,33,Female,Nigeria,Instagram,4.95,16,17.0,1,7.9,34,6,85,49.7,18.5,22.3,72.9,23.0
USR0205,23,Male,USA,Instagram,2.6,5,30.0,0,8.5,13,6,76,18.3,13.0,1.9,84.1,8.3
USR0206,30,Male,South Africa,TikTok,6.01,9,38.6,1,7.4,50,6,606,42.1,25.5,18.0,67.6,14.0
USR0207,35,Female,Brazil,TikTok,3.93,11,24.0,1,7.3,50,2,102,39.2,18.3,23.5,83.6,18.9
USR0208,33,Male,USA,Instagram,7.37,20,21.2,0,6.9,99,2,11926,50.5,31.7,22.6,74.4,26.1
USR0209,35,Female,India,TikTok,3.9,6,33.7,0,8.0,26,1,181,27.3,8.9,17.3,76.6,16.8
USR0210,29,Female,Brazil,TikTok,3.17,6,31.6,1,8.8,21,0,268,27.6,11.5,8.4,79.3,14.2
USR0211,24,Male,Kenya,TikTok,5.13,17,13.5,1,7.3,48,1,630,40.3,13.5,14.1,79.3,14.9
USR0212,13,Female,Nigeria,Instagram,5.1,14,28.4,1,8.0,79,2,42,40.8,30.2,21.5,76.2,32.5
USR0213,22,Male,India,Instagram,3.91,11,18.4,0,7.6,44,6,865,26.6,15.6,14.7,84.9,18.3
USR0214,18,Female,South Africa,TikTok,5.3,10,31.3,0,7.6,39,2,673,40.0,33.6,11.7,77.9,23.3
USR0215,39,Female,South Africa,Instagram,2.54,4,38.8,1,8.8,23,4,238,27.5,18.8,7.4,82.7,19.8
USR0216,22,Male,USA,TikTok,4.36,8,31.8,1,8.1,28,3,608,42.7,25.3,25.6,75.8,22.8
USR0217,24,Female,Kenya,TikTok,4.54,9,29.4,0,7.1,48,1,766,36.5,19.4,12.6,77.6,26.0
USR0218,27,Non-binary,USA,Instagram,2.88,5,35.8,1,7.7,27,4,3473,24.2,10.3,16.6,80.3,12.5
USR0219,24,Male,Nigeria,Instagram,5.27,9,39.7,0,8.2,26,4,17160,32.8,21.0,11.8,77.9,16.4
USR0220,35,Female,Nigeria,Instagram,1.64,4,26.9,0,8.3,9,4,82,9.8,7.5,6.0,99.0,8.7
USR0221,19,Male,India,Instagram,5.0,10,34.5,0,7.0,59,4,57,30.3,12.9,16.6,76.2,24.6
USR0222,25,Male,Kenya,Instagram,5.2,16,16.3,0,7.2,59,4,470,31.4,12.2,4.8,77.8,24.8
USR0223,18,Male,South Africa,TikTok,1.4,2,43.0,1,8.6,4,2,17,16.6,5.5,0.6,91.6,11.8
USR0224,14,Male,USA,TikTok,7.61,18,25.8,1,7.6,71,2,1068,55.3,38.7,23.3,61.2,30.8
